STATEFIP,YEAR,ANXIETYFLG,TRAUSTREFLG,ADHDFLG,BIPOLARFLG,DEPRESSFLG,SPHSERVICE,CMPSERVICE,OPISERVICE,RTCSERVICE,TOT_SERVICE,STATE_x,NAME,POPESTIMATE,UTIL_RATE,max_ADHD,max_PTSD,max_anxiety,max_bipolar,max_depression,max_mental hospital,max_psychiatrists near me,max_psychologist near me,max_therapist near me,mean_ADHD,mean_PTSD,mean_anxiety,mean_bipolar,mean_depression,mean_mental hospital,mean_psychiatrists near me,mean_psychologist near me,mean_therapist near me,median_ADHD,median_PTSD,median_anxiety,median_bipolar,median_depression,median_mental hospital,median_psychiatrists near me,median_psychologist near me,median_therapist near me,min_ADHD,min_PTSD,min_anxiety,min_bipolar,min_depression,min_mental hospital,min_psychiatrists near me,min_psychologist near me,min_therapist near me,state
1,2022,20178,14932,15629,11650,30545,185629,93594,185222,186266,650711,AL,Alabama,5074296,0.1282367051508229,51.0,17.0,100.0,27.0,80.0,49.0,6.0,14.0,67.0,43.66666666666666,14.25,89.08333333333333,21.666666666666668,64.58333333333333,39.5,0.9166666666666666,9.666666666666666,56.75,44.5,14.0,89.5,21.5,63.5,39.0,0.0,10.0,58.0,38.0,12.0,78.0,19.0,54.0,34.0,0.0,0.0,46.0,AL
2,2022,1547,2955,538,415,2238,18876,9729,18858,18430,65893,AK,Alaska,733583,0.08982351008679318,68.0,26.0,100.0,27.0,92.0,0.0,0.0,0.0,51.0,60.333333333333336,20.416666666666668,90.5,22.5,69.66666666666667,0.0,0.0,0.0,12.416666666666666,64.0,21.0,88.0,22.0,69.0,0.0,0.0,0.0,0.0,48.0,12.0,82.0,17.0,59.0,0.0,0.0,0.0,0.0,AK
4,2022,130705,95014,44115,36904,97650,850004,425337,850227,850225,2975793,AZ,Arizona,7359197,0.40436381849813235,55.0,17.0,100.0,28.0,77.0,59.0,6.0,26.0,82.0,50.66666666666666,15.25,87.58333333333333,23.25,66.41666666666667,47.083333333333336,0.5,17.666666666666668,71.08333333333333,51.5,15.0,88.5,23.0,65.0,46.0,0.0,17.0,72.0,44.0,13.0,72.0,19.0,58.0,39.0,0.0,13.0,57.0,AZ
5,2022,8850,12711,3718,5940,17278,144043,72946,143802,143546,504337,AR,Arkansas,3045637,0.16559327326270334,55.0,20.0,97.0,27.0,88.0,75.0,0.0,12.0,89.0,46.16666666666666,17.25,88.58333333333333,23.916666666666668,66.16666666666667,61.16666666666666,0.0,2.833333333333333,70.91666666666667,46.5,17.0,87.0,24.0,65.0,61.5,0.0,0.0,70.5,36.0,15.0,81.0,21.0,53.0,42.0,0.0,0.0,54.0,AR
6,2022,99690,100109,34247,42613,143057,1187825,625862,1179380,1189274,4182341,CA,California,39029342,0.10715889086728646,51.0,16.0,98.0,24.0,77.0,62.0,3.0,17.0,79.0,47.833333333333336,14.166666666666666,90.75,20.75,67.91666666666667,54.25,2.4166666666666665,13.916666666666666,70.08333333333333,48.5,14.0,91.5,20.5,66.5,54.0,2.0,13.5,70.0,41.0,13.0,85.0,17.0,57.0,48.0,2.0,11.0,57.0,CA
8,2022,31019,41942,10761,15568,39352,262054,136140,263030,259383,920607,CO,Colorado,5839926,0.15764018242696912,58.0,20.0,90.0,25.0,69.0,61.0,8.0,14.0,84.0,51.5,15.833333333333334,81.83333333333333,22.33333333333333,61.333333333333336,51.66666666666666,1.1666666666666667,11.583333333333334,72.5,51.5,15.5,83.5,22.5,62.0,50.5,0.0,12.0,73.0,47.0,13.0,73.0,20.0,52.0,43.0,0.0,9.0,58.0,CO
9,2022,10931,10323,2261,7197,15206,186598,94931,187593,186220,655342,CT,Connecticut,3626205,0.18072392487462788,50.0,18.0,100.0,25.0,73.0,64.0,11.0,26.0,85.0,44.0,14.833333333333334,89.33333333333333,21.666666666666668,60.5,47.75,1.6666666666666667,17.916666666666668,71.25,45.0,15.0,88.0,21.5,60.5,46.0,0.0,19.0,69.5,38.0,12.0,79.0,19.0,45.0,37.0,0.0,12.0,61.0,CT
10,2022,1540,1772,924,2140,3329,31587,21778,30481,28319,112165,DE,Delaware,1018396,0.11013888507024772,49.0,18.0,100.0,27.0,73.0,65.0,26.0,29.0,89.0,41.833333333333336,15.25,85.91666666666667,23.33333333333333,63.25,37.41666666666666,2.1666666666666665,4.25,68.0,42.0,15.0,84.0,24.5,63.0,36.0,0.0,0.0,70.5,32.0,11.0,78.0,18.0,45.0,23.0,0.0,0.0,31.0,DE
11,2022,2010,3697,963,4914,9892,83646,42395,84130,84130,294301,DC,District of Columbia,671803,0.4380763408320594,67.0,20.0,100.0,26.0,76.0,53.0,0.0,0.0,94.0,56.083333333333336,16.25,89.5,22.33333333333333,65.83333333333333,26.666666666666668,0.0,0.0,65.25,53.5,16.0,88.5,22.5,66.5,32.5,0.0,0.0,64.0,50.0,14.0,82.0,16.0,54.0,0.0,0.0,0.0,44.0,DC
12,2022,33119,55853,17686,38885,90906,688683,387063,633090,686488,2395324,FL,Florida,22244823,0.10768006560447795,46.0,16.0,93.0,24.0,100.0,45.0,3.0,23.0,79.0,42.66666666666666,14.583333333333334,87.41666666666667,21.33333333333333,65.91666666666667,37.91666666666666,2.1666666666666665,19.75,66.66666666666667,43.5,15.0,88.0,20.5,64.0,37.0,2.0,19.5,67.5,37.0,13.0,81.0,19.0,52.0,34.0,0.0,16.0,56.0,FL
