,key,max_ADHD,max_PTSD,max_anxiety,max_bipolar,max_depression,max_mental hospital,max_psychiatrists near me,max_psychologist near me,max_therapist near me,mean_ADHD,mean_PTSD,mean_anxiety,mean_bipolar,mean_depression,mean_mental hospital,mean_psychiatrists near me,mean_psychologist near me,mean_therapist near me,median_ADHD,median_PTSD,median_anxiety,median_bipolar,median_depression,median_mental hospital,median_psychiatrists near me,median_psychologist near me,median_therapist near me,min_ADHD,min_PTSD,min_anxiety,min_bipolar,min_depression,min_mental hospital,min_psychiatrists near me,min_psychologist near me,min_therapist near me
0,US-AK_2013,29.0,19.0,57.0,26.0,74.0,0.0,0.0,0.0,0.0,20.583333333333332,13.583333333333334,48.5,19.416666666666668,61.416666666666664,0.0,0.0,0.0,0.0,22.0,13.0,46.0,18.0,62.0,0.0,0.0,0.0,0.0,9.0,10.0,39.0,14.0,45.0,0.0,0.0,0.0,0.0
1,US-AK_2014,34.0,22.0,62.0,27.0,78.0,64.0,0.0,0.0,0.0,21.25,17.166666666666668,50.666666666666664,20.75,62.583333333333336,5.333333333333333,0.0,0.0,0.0,21.5,17.5,51.0,19.5,64.0,0.0,0.0,0.0,0.0,12.0,14.0,41.0,15.0,46.0,0.0,0.0,0.0,0.0
2,US-AK_2015,27.0,26.0,68.0,24.0,92.0,0.0,0.0,99.0,0.0,20.0,18.833333333333332,57.833333333333336,18.666666666666668,72.33333333333333,0.0,0.0,8.25,0.0,19.5,18.5,58.0,19.0,70.5,0.0,0.0,0.0,0.0,16.0,13.0,44.0,9.0,44.0,0.0,0.0,0.0,0.0
3,US-AK_2016,28.0,22.0,76.0,30.0,89.0,68.0,0.0,0.0,0.0,22.5,17.083333333333332,67.16666666666667,21.416666666666668,72.16666666666667,5.666666666666667,0.0,0.0,0.0,24.0,18.0,68.0,20.0,75.0,0.0,0.0,0.0,0.0,17.0,11.0,53.0,15.0,55.0,0.0,0.0,0.0,0.0
4,US-AK_2017,28.0,21.0,90.0,23.0,90.0,0.0,0.0,0.0,0.0,21.333333333333332,15.916666666666666,73.41666666666667,18.083333333333332,74.0,0.0,0.0,0.0,0.0,22.0,15.5,74.5,17.0,76.0,0.0,0.0,0.0,0.0,16.0,12.0,63.0,11.0,57.0,0.0,0.0,0.0,0.0
5,US-AK_2018,32.0,27.0,97.0,29.0,92.0,0.0,0.0,60.0,0.0,22.916666666666668,20.083333333333332,82.25,23.75,76.5,0.0,0.0,5.0,0.0,22.5,20.0,81.5,24.0,77.5,0.0,0.0,0.0,0.0,18.0,15.0,72.0,16.0,59.0,0.0,0.0,0.0,0.0
6,US-AK_2019,37.0,22.0,86.0,23.0,98.0,62.0,0.0,0.0,0.0,27.083333333333332,16.666666666666668,79.91666666666667,19.083333333333332,76.75,5.166666666666667,0.0,0.0,0.0,26.0,16.0,83.0,18.5,77.0,0.0,0.0,0.0,0.0,21.0,11.0,67.0,15.0,58.0,0.0,0.0,0.0,0.0
7,US-AK_2020,37.0,21.0,94.0,28.0,85.0,100.0,0.0,0.0,0.0,28.833333333333332,15.916666666666666,82.83333333333333,20.833333333333332,71.75,12.833333333333334,0.0,0.0,0.0,28.5,16.0,84.5,21.0,68.5,0.0,0.0,0.0,0.0,21.0,8.0,67.0,15.0,63.0,0.0,0.0,0.0,0.0
8,US-AK_2021,52.0,22.0,99.0,33.0,71.0,0.0,0.0,0.0,78.0,44.916666666666664,16.75,88.25,22.333333333333332,61.25,0.0,0.0,0.0,6.5,45.5,17.0,89.5,22.0,61.5,0.0,0.0,0.0,0.0,38.0,13.0,73.0,19.0,51.0,0.0,0.0,0.0,0.0
9,US-AK_2022,68.0,26.0,100.0,27.0,92.0,0.0,0.0,0.0,51.0,60.333333333333336,20.416666666666668,90.5,22.5,69.66666666666667,0.0,0.0,0.0,12.416666666666666,64.0,21.0,88.0,22.0,69.0,0.0,0.0,0.0,0.0,48.0,12.0,82.0,17.0,59.0,0.0,0.0,0.0,0.0
10,US-AK_2023,88.0,26.0,97.0,30.0,86.0,0.0,0.0,0.0,53.0,74.83333333333333,19.083333333333332,84.58333333333333,24.083333333333332,66.83333333333333,0.0,0.0,0.0,4.416666666666667,73.5,19.0,83.0,24.0,62.5,0.0,0.0,0.0,0.0,62.0,14.0,72.0,18.0,49.0,0.0,0.0,0.0,0.0
11,US-AK_2024,79.0,28.0,93.0,33.0,76.0,46.0,0.0,0.0,17.0,68.0909090909091,18.818181818181817,80.36363636363636,23.181818181818183,56.72727272727273,4.909090909090909,0.0,0.0,1.8181818181818181,67.0,18.0,81.0,22.0,54.0,0.0,0.0,0.0,0.0,61.0,10.0,68.0,21.0,41.0,0.0,0.0,0.0,0.0
12,US-AL_2013,28.0,11.0,52.0,25.0,77.0,50.0,0.0,0.0,0.0,23.5,8.75,47.25,22.333333333333332,59.0,32.583333333333336,0.0,0.0,0.0,23.0,8.5,47.5,22.0,59.5,34.0,0.0,0.0,0.0,20.0,6.0,41.0,20.0,45.0,19.0,0.0,0.0,0.0
13,US-AL_2014,29.0,13.0,54.0,26.0,78.0,40.0,0.0,0.0,0.0,22.666666666666668,10.666666666666666,49.083333333333336,22.666666666666668,64.75,34.166666666666664,0.0,0.0,0.0,23.0,11.0,49.5,23.0,67.5,34.0,0.0,0.0,0.0,17.0,8.0,43.0,20.0,47.0,27.0,0.0,0.0,0.0
14,US-AL_2015,27.0,15.0,63.0,26.0,85.0,36.0,0.0,0.0,0.0,22.583333333333332,12.333333333333334,56.5,23.5,70.41666666666667,29.833333333333332,0.0,0.0,0.0,21.5,12.5,56.5,24.5,71.5,28.0,0.0,0.0,0.0,18.0,10.0,52.0,20.0,50.0,23.0,0.0,0.0,0.0
15,US-AL_2016,24.0,15.0,70.0,28.0,82.0,40.0,0.0,0.0,10.0,21.5,12.333333333333334,64.0,21.916666666666668,67.91666666666667,32.666666666666664,0.0,0.0,2.9166666666666665,21.0,12.0,63.5,22.0,69.5,32.5,0.0,0.0,0.0,18.0,10.0,59.0,18.0,49.0,23.0,0.0,0.0,0.0
16,US-AL_2017,27.0,15.0,75.0,23.0,85.0,37.0,8.0,7.0,22.0,23.666666666666668,12.75,69.66666666666667,20.333333333333332,69.75,30.416666666666668,0.6666666666666666,0.5833333333333334,13.0,23.5,13.0,69.5,21.0,71.0,30.0,0.0,0.0,12.0,20.0,11.0,63.0,17.0,55.0,21.0,0.0,0.0,7.0
17,US-AL_2018,27.0,14.0,85.0,25.0,85.0,42.0,0.0,8.0,29.0,23.0,12.25,77.66666666666667,22.083333333333332,73.0,32.583333333333336,0.0,3.3333333333333335,23.083333333333332,23.0,12.0,77.0,22.0,73.0,32.5,0.0,0.0,24.5,19.0,11.0,72.0,19.0,62.0,23.0,0.0,0.0,18.0
18,US-AL_2019,28.0,15.0,87.0,23.0,85.0,37.0,0.0,14.0,55.0,24.166666666666668,13.333333333333334,79.41666666666667,20.416666666666668,71.16666666666667,32.416666666666664,0.0,8.916666666666666,42.333333333333336,24.5,13.0,79.0,20.0,72.0,32.5,0.0,9.5,44.5,21.0,12.0,72.0,19.0,55.0,28.0,0.0,0.0,28.0
19,US-AL_2020,29.0,15.0,83.0,21.0,76.0,33.0,0.0,15.0,65.0,23.583333333333332,13.25,78.08333333333333,19.583333333333332,65.83333333333333,30.5,0.0,8.5,49.5,23.5,13.0,78.0,19.5,65.5,30.5,0.0,9.5,50.5,19.0,12.0,72.0,18.0,58.0,29.0,0.0,0.0,25.0
20,US-AL_2021,40.0,15.0,91.0,22.0,66.0,43.0,6.0,16.0,100.0,33.25,13.333333333333334,85.75,18.5,60.666666666666664,32.416666666666664,1.0,12.0,82.5,32.5,13.0,86.0,19.0,62.0,32.0,0.0,11.5,82.0,25.0,11.0,78.0,15.0,53.0,24.0,0.0,7.0,61.0
21,US-AL_2022,51.0,17.0,100.0,27.0,80.0,49.0,6.0,14.0,67.0,43.666666666666664,14.25,89.08333333333333,21.666666666666668,64.58333333333333,39.5,0.9166666666666666,9.666666666666666,56.75,44.5,14.0,89.5,21.5,63.5,39.0,0.0,10.0,58.0,38.0,12.0,78.0,19.0,54.0,34.0,0.0,0.0,46.0
22,US-AL_2023,54.0,15.0,95.0,23.0,72.0,48.0,6.0,15.0,70.0,50.333333333333336,13.666666666666666,86.25,20.666666666666668,60.0,38.916666666666664,0.5,10.5,55.666666666666664,52.5,14.0,86.0,21.0,58.0,38.5,0.0,9.5,54.5,42.0,11.0,77.0,18.0,49.0,29.0,0.0,6.0,44.0
