STATE,NAME,CENSUS2010POP,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
1,Alabama,4779736,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4920706,4921532
2,Alaska,710231,737626,737075,738430,742575,740983,736624,733603,732074,731158
4,Arizona,6392017,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7393900,7421401
5,Arkansas,2915918,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3029672,3030522
6,California,37253956,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39418894,39368078
8,Colorado,5029196,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5798266,5807719
9,Connecticut,3574097,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3561494,3557006
10,Delaware,897934,924062,933131,942065,949989,957942,966985,976668,984899,986809
11,District of Columbia,601723,651559,663603,677014,687576,697079,704147,708253,712185,712816
12,Florida,18801310,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21688239,21733312
13,Georgia,9687653,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10695662,10710017
15,Hawaii,1360301,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1410587,1407006
16,Idaho,1567582,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1818238,1826913
17,Illinois,12830632,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12615162,12587530
18,Indiana,6483802,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6752183,6754953
19,Iowa,3046355,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3164115,3163561
20,Kansas,2853118,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2915024,2913805
21,Kentucky,4339367,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4477899,4477251
22,Louisiana,4533372,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4650984,4645318
23,Maine,1328361,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1349647,1350141
24,Maryland,5773552,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6059529,6055802
25,Massachusetts,6547629,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6898116,6893574
26,Michigan,9883640,9914802,9932033,9934483,9954117,9976752,9987286,9984795,9976330,9966555
27,Minnesota,5303925,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5655855,5657342
28,Mississippi,2967297,2989839,2991892,2990231,2990595,2990674,2982879,2978227,2971253,2966786
29,Missouri,5988927,6042989,6059130,6075411,6091384,6111382,6125986,6140475,6151737,6151548
30,Montana,989415,1014158,1022657,1031495,1042137,1053862,1061818,1070123,1078405,1080577
31,Nebraska,1826341,1865813,1879955,1892059,1906483,1916998,1925512,1932571,1937258,1937552
32,Nevada,2700551,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3128500,3138259
33,New Hampshire,1316470,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1365533,1366275
34,New Jersey,8791894,8857821,8867277,8870312,8873584,8888147,8891730,8891258,8890883,8882371
35,New Mexico,2059179,2092833,2090236,2090071,2092555,2092844,2093754,2099634,2106117,2106319
36,New York,19378102,19626488,19653431,19657321,19636391,19593849,19544098,19463131,19382373,19336776
37,North Carolina,9535483,9846717,9937295,10037218,10161802,10275758,10391358,10501384,10581885,10600823
38,North Dakota,672591,723149,738736,755537,756114,756755,760062,763724,765224,765309
39,Ohio,11536504,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11699855,11693217
40,Oklahoma,3751351,3853891,3879187,3910518,3928143,3933602,3943488,3960676,3977682,3980783
41,Oregon,3831074,3924110,3965447,4018542,4093271,4147294,4183538,4216116,4237408,4241507
42,Pennsylvania,12702379,12779538,12792392,12789838,12788468,12794679,12809107,12798883,12794404,12783254
44,Rhode Island,1052567,1055560,1056511,1056886,1057816,1056554,1059338,1058158,1058004,1057125
45,South Carolina,4625364,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5205864,5218040
46,South Dakota,814180,842751,849670,854663,863693,873732,879386,887127,891688,892717
47,Tennessee,6346105,6496943,6544617,6595354,6651277,6714748,6778180,6830325,6875939,6886834
48,Texas,25145561,26479646,26963092,27468531,27914064,28291024,28624564,28986794,29286467,29360759
49,Utah,2763885,2898773,2938327,2983626,3044241,3103540,3155153,3203383,3239542,3249879
50,Vermont,625741,626603,625693,625810,624366,625132,624802,624046,623821,623347
51,Virginia,8001024,8255861,8315430,8367303,8417651,8471011,8510920,8556642,8587217,8590563
53,Washington,6724540,6966252,7057531,7167287,7299961,7427951,7526793,7614024,7678379,7693612
54,West Virginia,1852994,1854768,1850569,1843332,1832435,1818683,1805953,1795263,1788150,1784787
55,Wisconsin,5686986,5738012,5753199,5762927,5775170,5793147,5809319,5824581,5833464,5832655
56,Wyoming,563626,582620,583159,586389,585243,579994,579054,580116,582030,582328
72,Puerto Rico,3725789,3593077,3534874,3473232,3406672,3325284,3193344,3193553,3167851,3159343
